삼성전자,이익잉여금,3.37946E+14,3.1689E+14,3.10217E+14,3.01743E+14,2.93065E+14,2.84827E+14,2.75085E+14,2.66066E+14,2.71068E+14,2.67025E+14,2.60165E+14,2.57079E+14,2.54583E+14,2.51761E+14,2.48061E+14,2.45401E+14,2.42699E+14,2.15811E+14,1.93086E+14
삼성전자,자본총계,3.5475E+14,3.44907E+14,3.27907E+14,3.15291E+14,3.049E+14,2.96766E+14,2.82324E+14,2.74269E+14,2.75948E+14,2.76136E+14,2.69808E+14,2.66388E+14,2.6288E+14,2.63442E+14,2.57747E+14,2.53215E+14,2.47753E+14,2.14491E+14,1.92963E+14
삼성전자,ROA,0.753630548,0.673835468,0.692385356,0.686830493,0.686943808,0.693987851,0.714919828,0.677312491,0.716664762,0.710571878,0.726800249,0.719187299,0.722088855,0.712425955,0.723336039,0.711167368,0.715172463,0.715193721,0.736480652
삼성전자,ROE,0.952633641,0.918770492,0.946052091,0.9570309,0.961183435,0.959769242,0.974358984,0.970093371,0.982316216,0.967004412,0.96426062,0.965055432,0.968436116,0.955660505,0.962420227,0.969140342,0.979599773,1.006153029,1.0006389
삼성전자,종가,55300,53100,57000,69600,78300,74100,80700,81400,81000,58200,52800,48300,55800,49050,47000,44650,38700,50960,36040
삼성에스디에스,자산총계,1.19524E+13,1.22587E+13,1.13695E+13,1.08352E+13,1.05174E+13,1.01729E+13,9.91829E+12,9.54763E+12,9.15492E+12,9.2083E+12,8.99802E+12,8.97892E+12,9.02124E+12,8.98722E+12,8.8014E+12,8.63374E+12,8.01385E+12,7.27776E+12,6.842E+12
삼성에스디에스,이익잉여금,7.00095E+12,6.7571E+12,6.36598E+12,6.09876E+12,6.08685E+12,5.98349E+12,5.7909E+12,5.63171E+12,5.66132E+12,5.48955E+12,5.33222E+12,5.18804E+12,5.4035E+12,5.15106E+12,4.99664E+12,4.80705E+12,4.82175E+12,4.34705E+12,3.87471E+12
삼성에스디에스,자본총계,8.46697E+12,8.40812E+12,7.84172E+12,7.5008E+12,7.4437E+12,7.36825E+12,7.08407E+12,6.879E+12,6.85911E+12,6.80068E+12,6.66045E+12,6.53154E+12,6.72516E+12,6.55581E+12,6.37037E+12,6.16346E+12,6.14855E+12,5.71943E+12,5.29112E+12
삼성에스디에스,ROA,0.585734971,0.551207042,0.55991889,0.562867933,0.578739073,0.588176921,0.583860233,0.589854086,0.61839089,0.596152563,0.592598705,0.57780176,0.598976069,0.57315371,0.567709016,0.556774526,0.601676746,0.59730564,0.56631255
삼성에스디에스,ROE,0.826854624,0.803639892,0.811808717,0.813081689,0.817718128,0.812064271,0.81745369,0.818681571,0.825372396,0.807206083,0.80057877,0.794305653,0.803476311,0.78572446,0.784355828,0.779927326,0.78420849,0.760049175,0.732304248
삼성에스디에스,종가,123000,115000,130000,138500,156500,160500,185000,193500,178500,169500,168500,146000,194500,190500,215000,235000,204000,200000,139500
LG전자,자산총계,5.51561E+13,6.12994E+13,5.53688E+13,5.50509E+13,5.34815E+13,5.45598E+13,5.06669E+13,5.04586E+13,4.82042E+13,4.9396E+13,4.47702E+13,4.55702E+13,4.48599E+13,4.72046E+13,4.58673E+13,4.59367E+13,4.43284E+13,4.1221E+13,3.78553E+13
